User Input,Intent,Response
Porsi daging ayam untuk diet,tanya_porsi_makan,100 gram dada ayam tanpa kulit.
Porsi ikan untuk diet,tanya_porsi_makan,100 gram ikan kukus/rebus.
Porsi buah untuk anak,tanya_porsi_makan,2 porsi buah potong kecil.
Porsi susu untuk lansia,tanya_porsi_makan,1–2 gelas susu rendah lemak.
Porsi bubur bayi,tanya_porsi_makan,½ mangkok kecil sesuai usia bayi.
Porsi camilan biskuit,tanya_porsi_makan,2 keping biskuit gandum.
Porsi mie sehat,tanya_porsi_makan,½ porsi mie ditambah banyak sayur.
Porsi nasi uduk sehat,tanya_porsi_makan,½ piring kecil saja.
Porsi sate ayam sehat,tanya_porsi_makan,5 tusuk sate ayam tanpa kulit.
Porsi gorengan yang aman,tanya_porsi_makan,"1–2 potong kecil, jangan sering."
Porsi buah semangka,tanya_porsi_makan,1–2 potong segitiga.
Porsi buah melon,tanya_porsi_makan,1–2 potong kecil.
Porsi alpukat sehat,tanya_porsi_makan,½ buah alpukat per kali makan.
Porsi susu coklat,tanya_porsi_makan,1 gelas kecil saja.
Porsi air kelapa,tanya_porsi_makan,1 gelas (200 ml) cukup.
Porsi es krim,tanya_porsi_makan,"½ cup kecil, konsumsi sesekali."
Porsi kue manis,tanya_porsi_makan,"1 potong kecil, jangan sering."
Porsi buah anggur,tanya_porsi_makan,10–12 butir anggur.
Porsi buah stroberi,tanya_porsi_makan,6–7 buah sedang.
Porsi buah pepaya,tanya_porsi_makan,1 potong sedang.
Bagaimana cara membaca label gizi?,tanya_label_gizi,"Mulailah dari takaran saji, lalu lihat kalori dan zat gizi utama."
Apa arti %AKG di label gizi?,tanya_label_gizi,%AKG menunjukkan kontribusi zat gizi terhadap kebutuhan harian.
Apa itu takaran saji?,tanya_label_gizi,Takaran saji adalah porsi standar yang digunakan sebagai acuan gizi.
Dimana lihat kalori di label?,tanya_label_gizi,Kalori biasanya ditulis di bagian atas tabel informasi gizi.
Apa arti lemak trans di label?,tanya_label_gizi,Lemak trans adalah jenis lemak tidak sehat yang sebaiknya dihindari.
Cara tahu kandungan gula dari label,tanya_label_gizi,Lihat di baris karbohidrat total → gula.
Apa itu kalori kosong di label?,tanya_label_gizi,Kalori kosong artinya kalori tinggi tapi miskin nutrisi.
Apa maksud energi total?,tanya_label_gizi,Energi total adalah jumlah kalori dalam satu sajian.
Bagaimana tahu kandungan protein?,tanya_label_gizi,Lihat di baris protein pada label gizi.
Apa itu natrium di label gizi?,tanya_label_gizi,"Natrium adalah garam, disarankan <2000 mg per hari."
Arti lemak jenuh di label,tanya_label_gizi,Lemak jenuh adalah lemak padat yang harus dibatasi.
Cara tahu vitamin dari label,tanya_label_gizi,Vitamin biasanya tertera di bagian bawah tabel gizi.
"Apa arti klaim ""rendah gula""?",tanya_label_gizi,Artinya produk mengandung ≤5g gula per 100g.
"Apa arti klaim ""bebas kolesterol""?",tanya_label_gizi,Produk mengandung <2mg kolesterol per sajian.
"Apa maksud ""tinggi serat""?",tanya_label_gizi,Produk mengandung ≥6g serat per 100g.
Cara cek zat besi di label,tanya_label_gizi,"Lihat di bagian mineral, biasanya ditulis dalam mg."
Bagaimana baca % lemak di label?,tanya_label_gizi,Itu menunjukkan berapa persen dari kebutuhan harian.
"Apa maksud ""light"" di kemasan?",tanya_label_gizi,Biasanya berarti rendah kalori atau rendah lemak.
"Apa arti ""sugar free""?",tanya_label_gizi,Artinya gula <0.5g per porsi.
"Apa arti ""low fat""?",tanya_label_gizi,Artinya lemak <3g per 100g produk.
"Apa itu ""high protein"" di label?",tanya_label_gizi,Artinya protein ≥20% dari energi total.
Cara cek serat di label,tanya_label_gizi,Lihat di bagian karbohidrat → serat pangan.
"Arti klaim ""fortified""",tanya_label_gizi,Produk diperkaya vitamin/mineral tertentu.
"Apa maksud ""enriched""?",tanya_label_gizi,Produk ditambah zat gizi tertentu setelah diproses.
Apa itu label gizi harian?,tanya_label_gizi,Acuan label berdasarkan kebutuhan 2000 kkal/hari.
Arti kalori per sajian,tanya_label_gizi,Kalori dihitung sesuai porsi standar yang ditentukan.
"Apa maksud ""takaran saji"" 200 ml?",tanya_label_gizi,Artinya semua nilai gizi berlaku untuk 200 ml produk.
"Apa arti ""per 100 gram""?",tanya_label_gizi,Informasi gizi ditulis untuk setiap 100 gram produk.
"Apa maksud ""per serving""?",tanya_label_gizi,Sama dengan per takaran saji.
Cara tahu kalori per bungkus,tanya_label_gizi,Kalikan kalori per sajian dengan jumlah sajian/bungkus.
"Apa arti klaim ""0 kalori""?",tanya_label_gizi,Artinya kalori <5 kkal per sajian.
"Apa arti ""no added sugar""?",tanya_label_gizi,"Tidak ada gula tambahan, tapi bisa ada gula alami."
"Apa maksud ""gluten free""?",tanya_label_gizi,Produk bebas dari gluten (protein gandum).
"Apa arti ""lactose free""?",tanya_label_gizi,"Produk bebas laktosa, cocok untuk intoleransi laktosa."
Bagaimana cek kalsium di label,tanya_label_gizi,"Lihat di bagian mineral, biasanya %AKG."
"Apa maksud ""trans fat free""?",tanya_label_gizi,Produk mengandung <0.5g lemak trans per sajian.
Cara tahu protein per bungkus,tanya_label_gizi,Kalikan protein per sajian dengan jumlah sajian.
Arti label halal,tanya_label_gizi,Produk sudah disertifikasi halal oleh MUI.
Arti label organik,tanya_label_gizi,Produk berasal dari bahan tanpa pestisida/kimia sintetis.
"Apa arti ""cholesterol free""?",tanya_label_gizi,Kolesterol <2 mg per sajian.
"Apa maksud ""plant based""?",tanya_label_gizi,Produk berbahan dasar tumbuhan.
Cara tahu vitamin D di label,tanya_label_gizi,Tertera di bagian vitamin/mineral.
Arti label gizi kecil di depan kemasan,tanya_label_gizi,"Itu ringkasan energi, lemak, gula, dan garam."
Bagaimana cara cek gula harian?,tanya_label_gizi,Batas konsumsi gula = 50g/hari (WHO).
Cara cek garam harian,tanya_label_gizi,Maksimal 2000 mg natrium/hari.
Cara tahu batas lemak harian,tanya_label_gizi,Lemak total sebaiknya <67g/hari.
"Apa arti ""low sodium""?",tanya_label_gizi,Natrium ≤120 mg per 100g.
"Apa arti ""high calcium""?",tanya_label_gizi,Produk mengandung ≥200 mg kalsium per sajian.
"Apa arti ""dietary fiber""?",tanya_label_gizi,Itu istilah untuk serat pangan.
Bagaimana cara bandingkan produk lewat label?,tanya_label_gizi,"Bandingkan kalori, gula, garam, dan lemak antar produk."
Makanan untuk diet rendah garam,tanya_makanan_diet,"Pilih sayur segar, buah, dan ikan rebus tanpa garam tambahan."
Diet rendah gula cocok makan apa?,tanya_makanan_diet,"Buah rendah gula (apel, pir), sayuran hijau, dan nasi merah."
Diet rendah lemak makan apa?,tanya_makanan_diet,"Konsumsi ikan kukus, ayam tanpa kulit, dan sayur rebus."
Diet tinggi protein makan apa?,tanya_makanan_diet,"Telur rebus, dada ayam, ikan, dan kacang-kacangan."
Diet keto makan apa?,tanya_makanan_diet,"Konsumsi alpukat, ikan, telur, minyak zaitun, dan kacang."
Diet vegetarian makan apa?,tanya_makanan_diet,"Tahu, tempe, sayur hijau, kacang, dan biji-bijian."
Diet vegan makan apa?,tanya_makanan_diet,"Buah, sayur, kacang, biji-bijian, tanpa produk hewani."
Diet Mediterania makan apa?,tanya_makanan_diet,"Ikan, minyak zaitun, kacang, sayur, buah segar."
Diet DASH makan apa?,tanya_makanan_diet,"Buah, sayur, susu rendah lemak, biji-bijian utuh."
Diet untuk penderita diabetes,tanya_makanan_diet,"Nasi merah, sayur, ikan, buah rendah gula."
Diet untuk penderita hipertensi,tanya_makanan_diet,"Sayuran hijau, buah, ikan, dan kacang tanpa garam."
Diet untuk penderita kolesterol,tanya_makanan_diet,"Oatmeal, ikan salmon, buah, kacang-kacangan."
Diet untuk menurunkan berat badan,tanya_makanan_diet,"Kurangi gula & gorengan, banyak sayur dan buah."
Diet untuk menambah berat badan,tanya_makanan_diet,"Susu, alpukat, kacang, daging tanpa lemak."
Diet untuk otot,tanya_makanan_diet,"Dada ayam, telur, whey protein, sayuran."
Diet sehat untuk remaja,tanya_makanan_diet,"Susu, telur, nasi merah, sayur hijau."
Diet sehat untuk ibu hamil,tanya_makanan_diet,"Susu, sayur, buah, ikan, dan biji-bijian."
Diet sehat untuk ibu menyusui,tanya_makanan_diet,"Susu, ikan, sayuran, buah, dan kacang."
Diet sehat untuk lansia,tanya_makanan_diet,"Bubur, ikan kukus, sayur rebus, buah lunak."
Diet rendah kalori,tanya_makanan_diet,"Sup sayur, ikan rebus, buah segar."
Diet tinggi serat,tanya_makanan_diet,"Sayur hijau, kacang, buah-buahan segar."
Diet rendah karbohidrat,tanya_makanan_diet,"Telur, ikan, ayam, dan sayur hijau."
Diet tinggi kalsium,tanya_makanan_diet,"Susu, yoghurt, keju, dan sayur hijau."
Diet tinggi zat besi,tanya_makanan_diet,"Bayam, hati ayam, kacang merah."
Diet tinggi vitamin C,tanya_makanan_diet,"Jeruk, kiwi, stroberi, paprika."
Diet gluten free,tanya_makanan_diet,"Nasi, kentang, jagung, buah, sayur."
Diet lactose free,tanya_makanan_diet,"Susu kedelai, susu almond, sayuran."
Diet paleo makan apa?,tanya_makanan_diet,"Daging tanpa lemak, ikan, sayur, buah."
Diet flexitarian,tanya_makanan_diet,"Sayur, buah, kacang, dengan sedikit daging."
Diet raw food,tanya_makanan_diet,Buah dan sayuran segar tanpa dimasak.
Diet rendah kolesterol,tanya_makanan_diet,"Buah, sayur, kacang, ikan."
Diet sehat ala Indonesia,tanya_makanan_diet,"Nasi merah, sayur lodeh, tempe, ikan bakar."
Diet ala Jepang,tanya_makanan_diet,"Ikan, nasi, sayuran rebus, teh hijau."
Diet ala Korea,tanya_makanan_diet,"Nasi, kimchi, ikan panggang, sayur."
Diet ala Barat sehat,tanya_makanan_diet,"Roti gandum, salad, ayam panggang."
Diet rendah sodium,tanya_makanan_diet,"Sayur segar, buah, ikan kukus."
Diet tinggi energi,tanya_makanan_diet,"Alpukat, susu, daging, kacang."
Diet untuk anemia,tanya_makanan_diet,"Bayam, hati ayam, kacang merah."
Diet untuk maag,tanya_makanan_diet,"Bubur, pisang, sup sayur, telur rebus."
Diet untuk asam urat,tanya_makanan_diet,"Sayur hijau, buah, nasi merah, ikan rendah purin."
Diet untuk ginjal,tanya_makanan_diet,"Buah segar, nasi putih, sayur rendah kalium."
Diet untuk jantung,tanya_makanan_diet,"Ikan salmon, sayur hijau, kacang."
Diet untuk hipertensi ringan,tanya_makanan_diet,"Buah, sayur, susu rendah lemak."
Diet sehat ala Mediterania,tanya_makanan_diet,"Buah, sayur, ikan, minyak zaitun."
Diet sehat tinggi protein,tanya_makanan_diet,"Dada ayam, telur, ikan."
Diet sehat rendah karbohidrat,tanya_makanan_diet,"Sayur hijau, telur, ikan."
Diet sehat rendah gula,tanya_makanan_diet,"Buah rendah gula, sayuran hijau."
Diet sehat tradisional,tanya_makanan_diet,"Pecel sayur, gado-gado, urap."
Diet sehat modern,tanya_makanan_diet,"Smoothie buah, salad, oatmeal."
Diet intermittent fasting,tanya_makanan_diet,"Pola makan 16:8, makan sehat saat jendela makan."
Apa efek minum kopi berlebihan?,tanya_efek_kesehatan,Bisa menyebabkan gangguan tidur dan jantung berdebar.
Bahaya konsumsi gula berlebih,tanya_efek_kesehatan,Dapat meningkatkan risiko obesitas dan diabetes.
Efek terlalu banyak garam,tanya_efek_kesehatan,Bisa memicu hipertensi dan penyakit jantung.
Efek kekurangan protein,tanya_efek_kesehatan,"Menyebabkan lemas, rambut rontok, dan massa otot berkurang."
Efek kurang vitamin C,tanya_efek_kesehatan,Bisa sebabkan sariawan dan daya tahan tubuh menurun.
Efek kebanyakan mie instan,tanya_efek_kesehatan,"Tinggi natrium, berisiko tekanan darah tinggi."
Bahaya minum boba tiap hari,tanya_efek_kesehatan,Kandungan gula tinggi dapat memicu diabetes.
Efek kurang minum air,tanya_efek_kesehatan,"Dehidrasi, sakit kepala, dan gangguan konsentrasi."
Efek kebanyakan gorengan,tanya_efek_kesehatan,Lemak jenuh tinggi → kolesterol naik.
Efek terlalu banyak fast food,tanya_efek_kesehatan,Bisa menyebabkan obesitas dan diabetes.
Efek makan junk food sering,tanya_efek_kesehatan,"Risiko obesitas, kolesterol, dan tekanan darah tinggi."
Efek terlalu banyak kafein,tanya_efek_kesehatan,"Bisa menyebabkan cemas, tremor, insomnia."
Efek kurang tidur,tanya_efek_kesehatan,Menurunkan imun dan konsentrasi.
Efek stres berlebihan,tanya_efek_kesehatan,Meningkatkan risiko hipertensi dan gangguan jantung.
Efek merokok,tanya_efek_kesehatan,"Risiko kanker paru, jantung, dan stroke."
Efek minum alkohol,tanya_efek_kesehatan,"Gangguan hati, lambung, dan saraf."
Efek makan terlalu asin,tanya_efek_kesehatan,Risiko hipertensi meningkat.
Efek makan terlalu manis,tanya_efek_kesehatan,Risiko diabetes dan obesitas.
Efek makan terlalu pedas,tanya_efek_kesehatan,Bisa memicu maag atau diare.
Efek makan terlalu banyak daging merah,tanya_efek_kesehatan,Bisa meningkatkan risiko kolesterol tinggi.
Efek kebanyakan makanan olahan,tanya_efek_kesehatan,Risiko kanker usus dan penyakit jantung.
Efek terlalu banyak softdrink,tanya_efek_kesehatan,Gula tinggi → risiko diabetes dan obesitas.
Efek sering makan coklat manis,tanya_efek_kesehatan,Bisa merusak gigi dan meningkatkan berat badan.
Efek kurang olahraga,tanya_efek_kesehatan,Bisa menyebabkan obesitas dan lemah otot.
Efek terlalu sering begadang,tanya_efek_kesehatan,Turunkan imun dan tingkatkan risiko penyakit.
Efek kebanyakan nasi putih,tanya_efek_kesehatan,Bisa meningkatkan kadar gula darah.
Efek makan gorengan setiap hari,tanya_efek_kesehatan,Risiko kolesterol tinggi dan obesitas.
Efek makan mie instan tiap hari,tanya_efek_kesehatan,Bisa sebabkan hipertensi dan gangguan pencernaan.
Efek tidak sarapan,tanya_efek_kesehatan,Bisa menurunkan konsentrasi dan energi.
Efek diet terlalu ketat,tanya_efek_kesehatan,Bisa sebabkan kekurangan gizi dan lemas.
Efek diet tanpa karbohidrat,tanya_efek_kesehatan,Bisa menyebabkan cepat lelah dan pusing.
Efek minum susu berlebihan,tanya_efek_kesehatan,Bisa sebabkan diare atau obesitas.
Efek minum suplemen berlebihan,tanya_efek_kesehatan,Risiko keracunan vitamin/mineral.
Efek kurang makan sayur,tanya_efek_kesehatan,Bisa sebabkan sembelit dan kekurangan vitamin.
Efek kurang makan buah,tanya_efek_kesehatan,Bisa menurunkan imun dan serat tubuh.
Efek kebanyakan ngemil,tanya_efek_kesehatan,Bisa meningkatkan berat badan.
Efek kebanyakan es krim,tanya_efek_kesehatan,Tinggi gula dan lemak → obesitas.
Efek kebanyakan kopi susu,tanya_efek_kesehatan,Risiko gula darah tinggi dan kolesterol.
Efek sering makan gorengan pedas,tanya_efek_kesehatan,Risiko asam lambung naik.
Efek kurang minum susu,tanya_efek_kesehatan,Bisa sebabkan tulang rapuh (osteoporosis).
Efek terlalu sering makan sate,tanya_efek_kesehatan,Bisa meningkatkan risiko kolesterol.
Efek terlalu banyak jeroan,tanya_efek_kesehatan,Risiko asam urat dan kolesterol tinggi.
Efek terlalu sering makan bakso,tanya_efek_kesehatan,Bisa tinggi natrium dan lemak jenuh.
Efek sering makan keripik,tanya_efek_kesehatan,Bisa meningkatkan risiko obesitas.
Efek sering makan coklat,tanya_efek_kesehatan,Bisa sebabkan jerawat dan gigi berlubang.
Efek kurang minum teh,tanya_efek_kesehatan,"Tidak berbahaya, tapi hilang manfaat antioksidannya."
Efek minum teh berlebihan,tanya_efek_kesehatan,Bisa sebabkan anemia karena gangguan penyerapan zat besi.
Efek terlalu banyak makanan manis,tanya_efek_kesehatan,"Risiko diabetes, obesitas, dan gigi rusak."
Efek terlalu banyak makanan asin,tanya_efek_kesehatan,Risiko hipertensi dan gangguan ginjal.
Efek sering makan makanan instan,tanya_efek_kesehatan,Risiko kanker usus dan obesitas.
Apa pengganti nasi putih?,tanya_alternatif_makanan,"Bisa diganti nasi merah, kentang, atau ubi."
Alternatif gula pasir apa ya?,tanya_alternatif_makanan,"Madu, stevia, atau gula aren bisa jadi pilihan."
Apa pengganti susu sapi?,tanya_alternatif_makanan,"Susu kedelai, susu almond, atau susu oat."
Pengganti mie instan yang sehat,tanya_alternatif_makanan,Bisa coba mie gandum utuh atau bihun jagung.
Alternatif camilan manis,tanya_alternatif_makanan,"Buah potong, yoghurt, atau kacang panggang."
Ganti nasi jadi apa untuk diet?,tanya_alternatif_makanan,"Nasi merah, quinoa, atau jagung rebus."
Alternatif minuman bersoda,tanya_alternatif_makanan,"Air mineral, infused water, atau jus segar."
Apa pengganti gorengan sehat?,tanya_alternatif_makanan,"Kentang panggang, ubi rebus, atau jagung."
Camilan rendah kalori apa?,tanya_alternatif_makanan,"Popcorn tanpa gula, sayuran rebus, buah segar."
Alternatif susu untuk vegan,tanya_alternatif_makanan,"Susu almond, oat, atau kedelai."
Ganti es krim pakai apa?,tanya_alternatif_makanan,Yoghurt beku dengan buah.
Alternatif mie goreng,tanya_alternatif_makanan,Mie sayur rebus dengan bumbu alami.
Ganti keripik apa ya?,tanya_alternatif_makanan,"Edamame, kacang panggang, atau wortel stik."
Pengganti snack manis,tanya_alternatif_makanan,"Kurma, kismis, atau buah kering."
Alternatif minuman energi,tanya_alternatif_makanan,Jus buah segar atau air kelapa.
Ganti roti tawar putih,tanya_alternatif_makanan,Roti gandum atau roti multigrain.
Alternatif makanan cepat saji,tanya_alternatif_makanan,"Salad, sandwich gandum, sup sayur."
Ganti cemilan malam,tanya_alternatif_makanan,Buah potong atau kacang rebus.
Alternatif nasi goreng,tanya_alternatif_makanan,Nasi merah goreng dengan sayur dan minyak zaitun.
Ganti mie instan malam hari,tanya_alternatif_makanan,Sup sayur dengan telur rebus.
Alternatif minuman manis,tanya_alternatif_makanan,Air lemon hangat tanpa gula.
Ganti minuman beralkohol,tanya_alternatif_makanan,Jus segar atau mocktail tanpa gula.
Alternatif cemilan anak,tanya_alternatif_makanan,Biskuit gandum atau buah potong.
Ganti snack asin,tanya_alternatif_makanan,Popcorn tanpa garam atau kacang panggang.
Alternatif gula untuk kopi,tanya_alternatif_makanan,Stevia atau madu.
Ganti teh manis,tanya_alternatif_makanan,Teh tawar atau teh hijau.
Alternatif minuman kaleng,tanya_alternatif_makanan,Infused water atau jus segar.
Ganti coklat manis,tanya_alternatif_makanan,Coklat hitam 70% kakao.
Alternatif kerupuk,tanya_alternatif_makanan,Sayuran panggang renyah.
Ganti snack goreng,tanya_alternatif_makanan,Ubi kukus atau jagung rebus.
Alternatif susu tinggi lemak,tanya_alternatif_makanan,Susu rendah lemak atau skim.
Ganti saus botolan,tanya_alternatif_makanan,Saus tomat homemade tanpa gula.
Alternatif margarin,tanya_alternatif_makanan,Minyak zaitun atau alpukat tumbuk.
Ganti gula teh,tanya_alternatif_makanan,Kayu manis atau stevia.
Alternatif minuman kemasan,tanya_alternatif_makanan,Air putih atau infused water.
Ganti snack coklat,tanya_alternatif_makanan,Buah kering atau kacang almond.
Alternatif donat,tanya_alternatif_makanan,Roti gandum isi buah.
Ganti boba,tanya_alternatif_makanan,Jelly rumput laut rendah gula.
Alternatif keripik singkong,tanya_alternatif_makanan,Keripik sayur panggang.
Ganti susu kental manis,tanya_alternatif_makanan,Susu evaporasi tanpa gula.
Alternatif camilan tengah malam,tanya_alternatif_makanan,Yoghurt rendah lemak dengan buah.
Ganti minuman berkarbonasi,tanya_alternatif_makanan,Air mineral dingin atau sparkling water tanpa gula.
Alternatif biskuit manis,tanya_alternatif_makanan,Biskuit gandum tanpa gula.
Ganti kopi instan manis,tanya_alternatif_makanan,Kopi hitam tanpa gula.
Alternatif es teh manis,tanya_alternatif_makanan,Teh hijau dingin tanpa gula.
Ganti susu coklat instan,tanya_alternatif_makanan,Kakao bubuk + susu rendah lemak tanpa gula.
Alternatif snack kemasan,tanya_alternatif_makanan,Buah segar atau kacang.
Ganti mie instan pedas,tanya_alternatif_makanan,Sup sayur pedas dengan bihun jagung.
Alternatif makanan manis sore,tanya_alternatif_makanan,Smoothie buah tanpa gula tambahan.
Camilan manis sore biar nggak gemuk,tanya_alternatif_makanan,Smoothie buah tanpa gula tambahan.
Kapan waktu terbaik sarapan?,tanya_waktu_makan,Sarapan ideal antara jam 6–9 pagi.
Jam berapa makan siang sehat?,tanya_waktu_makan,Waktu makan siang ideal jam 12–2 siang.
Jam berapa sebaiknya makan malam?,tanya_waktu_makan,Makan malam sebaiknya sebelum jam 8 malam.
Kapan waktu minum susu?,tanya_waktu_makan,Bisa pagi atau malam sebelum tidur.
Kapan waktu minum kopi yang baik?,tanya_waktu_makan,"Setelah sarapan, jangan saat perut kosong."
Kapan minum teh yang sehat?,tanya_waktu_makan,"Setelah makan, bukan saat perut kosong."
Waktu ngemil sehat,tanya_waktu_makan,"Di sela makan, misalnya pukul 10 pagi atau 4 sore."
Jam makan sehat untuk diet,tanya_waktu_makan,3 kali makan utama + 2 camilan sehat.
Kapan sebaiknya sahur?,tanya_waktu_makan,"Sebelum imsak, sekitar jam 3–4 pagi."
Kapan sebaiknya berbuka puasa?,tanya_waktu_makan,Segera setelah adzan Maghrib.
Kapan waktu minum air putih?,tanya_waktu_makan,"Sepanjang hari, 8 gelas dibagi rata."
Waktu olahraga sebelum makan,tanya_waktu_makan,Ideal 1–2 jam sebelum makan berat.
Waktu olahraga setelah makan,tanya_waktu_makan,Tunggu 1–2 jam setelah makan.
Kapan waktu minum vitamin?,tanya_waktu_makan,Setelah makan agar mudah diserap tubuh.
Waktu makan sehat untuk anak,tanya_waktu_makan,3 kali makan utama + 2 camilan bergizi.
Jam sarapan anak sekolah,tanya_waktu_makan,"Sebelum berangkat sekolah, sekitar jam 6–7 pagi."
Jam makan malam anak,tanya_waktu_makan,Paling lambat jam 7 malam.
Waktu minum susu anak,tanya_waktu_makan,Pagi dan malam sebelum tidur.
Kapan sebaiknya makan buah?,tanya_waktu_makan,Bisa sebelum makan atau jadi camilan.
Kapan waktu minum jus sehat?,tanya_waktu_makan,Pagi atau siang hari lebih baik.
Waktu makan untuk pekerja kantoran,tanya_waktu_makan,"Sarapan jam 7, makan siang jam 12, makan malam jam 7."
Pola makan sehat harian,tanya_waktu_makan,3 kali makan utama dan 2 kali camilan sehat.
Waktu makan untuk diet keto,tanya_waktu_makan,"Sesuai jam makan normal, hindari ngemil berlebihan."
Jam makan untuk diet intermittent fasting,tanya_waktu_makan,"Jendela makan 8 jam, misal jam 12–8 malam."
Waktu minum teh hijau,tanya_waktu_makan,"Pagi atau sore, bukan malam hari."
Waktu minum kopi sore,tanya_waktu_makan,Sebelum jam 5 sore agar tidak ganggu tidur.
Jam makan ideal untuk lansia,tanya_waktu_makan,"Lebih awal, makan malam sebelum jam 7 malam."
Jam makan untuk pasien diabetes,tanya_waktu_makan,Teratur tiap 4–5 jam dengan porsi kecil.
Waktu ngemil untuk diet sehat,tanya_waktu_makan,Pukul 10 pagi dan 4 sore.
Waktu minum susu rendah lemak,tanya_waktu_makan,Malam hari sebelum tidur.
Jam makan sehat untuk ibu hamil,tanya_waktu_makan,3 kali makan utama + 2–3 camilan sehat.
Waktu makan sayur,tanya_waktu_makan,Bisa di setiap jam makan utama.
Waktu minum air hangat,tanya_waktu_makan,Saat bangun pagi dan sebelum tidur.
Jam sarapan untuk diet,tanya_waktu_makan,Pukul 7–8 pagi dengan porsi seimbang.
Jam makan siang untuk diet,tanya_waktu_makan,Pukul 12–1 siang dengan makanan sehat.
Jam makan malam untuk diet,tanya_waktu_makan,Paling lambat pukul 7 malam.
Waktu ngemil buah,tanya_waktu_makan,Pagi jam 10 atau sore jam 4.
Kapan waktu minum air kelapa?,tanya_waktu_makan,Siang hari untuk segarkan tubuh.
Waktu minum teh chamomile,tanya_waktu_makan,Malam hari untuk bantu tidur nyenyak.
Jam makan pagi pekerja malam,tanya_waktu_makan,"Setelah bangun tidur, meski siang hari."
Waktu minum kopi untuk mahasiswa,tanya_waktu_makan,"Pagi atau siang, hindari malam hari."
Waktu minum vitamin C,tanya_waktu_makan,Pagi atau siang bersama makanan.
Waktu minum vitamin D,tanya_waktu_makan,Siang hari setelah makan siang.
Waktu minum suplemen zat besi,tanya_waktu_makan,Pagi hari dengan jus jeruk.
Waktu terbaik makan camilan sore,tanya_waktu_makan,Sekitar pukul 4 sore.
Jam makan malam keluarga,tanya_waktu_makan,Ideal sekitar pukul 6–7 malam.
Waktu minum air setelah olahraga,tanya_waktu_makan,Segera setelah selesai olahraga.
Jam minum susu untuk lansia,tanya_waktu_makan,Malam sebelum tidur.
Waktu sarapan ideal untuk siswa,tanya_waktu_makan,Pukul 6–7 pagi sebelum sekolah.
Waktu terbaik minum susu untuk orang tua,tanya_waktu_makan,Malam sebelum tidur.
Tips hidup sehat apa saja?,tanya_tips_hidup_sehat,"Jaga pola makan, olahraga rutin, tidur cukup, dan kelola stres."
Bagaimana cara menjaga kesehatan?,tanya_tips_hidup_sehat,"Konsumsi gizi seimbang, cukup tidur, dan rajin olahraga."
Tips diet sehat,tanya_tips_hidup_sehat,"Batasi gula, garam, lemak, perbanyak sayur dan buah."
Bagaimana cara menjaga berat badan ideal?,tanya_tips_hidup_sehat,"Kontrol kalori, olahraga, dan cukup istirahat."
Tips menjaga imun tubuh,tanya_tips_hidup_sehat,"Konsumsi vitamin, sayur, buah, olahraga, tidur cukup."
Tips makan sehat sehari-hari,tanya_tips_hidup_sehat,"Ikuti pola “Isi Piringku”: ½ sayur & buah, ¼ karbo, ¼ protein."
Tips olahraga untuk pemula,tanya_tips_hidup_sehat,Mulai dengan jalan kaki 30 menit per hari.
Tips tidur yang sehat,tanya_tips_hidup_sehat,"Tidur 7–8 jam setiap malam, hindari gadget sebelum tidur."
Tips mengurangi stres,tanya_tips_hidup_sehat,"Lakukan relaksasi, olahraga, atau hobi."
Tips pola makan sehat di kantor,tanya_tips_hidup_sehat,"Bawa bekal sehat, hindari gorengan dan minuman manis."
Tips menjaga kesehatan jantung,tanya_tips_hidup_sehat,"Konsumsi ikan, kurangi garam, rutin olahraga."
Tips menjaga kesehatan otak,tanya_tips_hidup_sehat,"Konsumsi omega-3, cukup tidur, rajin membaca."
Tips menjaga kesehatan mata,tanya_tips_hidup_sehat,Istirahatkan mata tiap 20 menit saat menatap layar.
Tips menjaga kesehatan tulang,tanya_tips_hidup_sehat,"Konsumsi kalsium, vitamin D, dan olahraga beban."
Tips menjaga kesehatan kulit,tanya_tips_hidup_sehat,"Minum cukup air, makan buah, gunakan tabir surya."
Tips sehat untuk mahasiswa,tanya_tips_hidup_sehat,"Pola makan teratur, cukup tidur, hindari junk food."
Tips sehat untuk anak kos,tanya_tips_hidup_sehat,Masak sederhana dengan sayur dan telur.
Tips sehat untuk pekerja malam,tanya_tips_hidup_sehat,"Jaga pola tidur teratur, konsumsi buah & sayur."
Tips sehat untuk ibu hamil,tanya_tips_hidup_sehat,"Tambah nutrisi, minum cukup air, kontrol rutin ke dokter."
Tips sehat untuk lansia,tanya_tips_hidup_sehat,"Makan lunak bergizi, olahraga ringan, tidur cukup."
Tips sehat saat puasa,tanya_tips_hidup_sehat,"Sahur dengan protein, berbuka dengan kurma & air putih."
Tips sehat saat lelah kerja,tanya_tips_hidup_sehat,"Istirahat sebentar, minum air, konsumsi buah segar."
Tips sehat saat musim hujan,tanya_tips_hidup_sehat,Perbanyak vitamin C dan minum air hangat.
Tips sehat saat panas terik,tanya_tips_hidup_sehat,Minum air lebih banyak dan hindari dehidrasi.
Tips sehat menjaga berat badan,tanya_tips_hidup_sehat,"Konsumsi kalori sesuai kebutuhan, olahraga rutin."
Tips sehat mengurangi gula,tanya_tips_hidup_sehat,Ganti dengan buah segar atau stevia.
